Наименование;Цена;Наличие
Ноутбуки;;
Acer TravelMate 6593G-872G25Mi C2D-P8700 2,53 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3470-v512Mb / DVD-RWx2 / WiFi / VB (LX.TSU0Z.395);45510 руб.;предзаказ
Acer TravelMate 6593G-964G32Mi C2D-T9600 2,8 ГГц / 15.4'' WSXGA+ / 4096Mb / 320Gb / Radeon 3470-v512Mb / DVD-RWx2 / WiFi / VB (LX.TSU0Z.704);52260 руб.;предзаказ
Acer Aspire One AOD150-BW White Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S550B.178);14410 руб.;остатки
Acer Aspire One AOD250-0Bw White Intel® Atom-N270 1,66 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S690B.092);13790 руб.;есть
Acer Aspire One AOA150-Bk Black Intel® Atom-N270 1,6 ГГц / 8.9'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S410B.051);13090 руб.;остатки
Acer Aspire One AOD150-1BGB Blue Intel® Atom-N280 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S630B.049);18890 руб.;предзаказ
Acer Aspire One AOA110-Aw White Intel® Atom-N270 1,6 ГГц / 8.9'' WSVGA / 512Mb / 8Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / Linux (LU.S020A.071);8090 руб.;предзаказ
Acer Aspire One AO751h-52Bk Black Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S810B.218);16010 руб.;есть
Acer Aspire One AOD250-0Br Red Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S700B.086);13060 руб.;есть
Acer Aspire One AOD150-1Br Red Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S560B.160);14790 руб.;остатки
Acer Aspire One AO531H-1BGk Black Intel® Atom-N280 1,66 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S650B.070);18260 руб.;есть
Acer Aspire One AOA150-BW White Intel® Atom-N270 1,6 ГГц / 8.9'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S040B.191);13970 руб.;остатки
Acer Aspire One AOD150-1Bk Black Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S570B.219);14230 руб.;остатки
Acer Aspire One AOA150-Bw White Intel® Atom-N270 1,6 ГГц / 8.9'' WSVGA / 1024Mb / 120Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S040B.083);13970 руб.;есть
Acer Aspire One AOD250-0Bb Blue Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S680B.130);13060 руб.;есть
Acer Aspire One AOD250-0Br Red Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S700B.131);12800 руб.;есть
Acer Aspire One AOD250-0Bb Blue Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S680B.175);12840 руб.;есть
Acer Aspire One AO531h-0Bk Black Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S860B.002);13960 руб.;есть
Acer Aspire One AOD250-0Bk Black Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S670B.093);13060 руб.;есть
Acer Aspire One AOD250-0Bk Black Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S670B.127);12590 руб.;есть
Acer Aspire One AO751h-52Br Red Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S820B.130);16010 руб.;есть
Acer Aspire One AO751h-52Bb Blue Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S850B.127);15870 руб.;есть
Acer Aspire One AOD250-0Bw White Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S690B.144);12840 руб.;есть
Acer Aspire One AO751h-52Br Red Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S820B.062);17390 руб.;остатки
Acer Aspire One AO751h-52Bb Blue Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S850B.061);16010 руб.;есть
Acer Aspire One AO751h-52Bw White Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S780B.065);17610 руб.;предзаказ
Acer Aspire One AO751h-52Bk Black Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S810B.131);16620 руб.;остатки
Acer Aspire One 751h-52BGk Black Intel® Atom-Z520 1,33 ГГц / 11.6'' WXGA / 1024Mb / 160Gb / Intel GMA 500-v128Mb / noCDROM / WiFi / WinXP-H (LU.S790B.034);19950 руб.;есть
Acer Aspire One AOP531h-06k Black Intel® Atom-N270 1,66 ГГц / 10.1'' WSVGA / 2048Mb / 250Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H (LU.S9206.053);20980 руб.;есть
